,Name,Salary,Pos,Team,Avg,STS,OWN,USG,MIN,PTS,TPM,AST,REB,BLK,STL,TOV,KJD,FP
66,Nikola Jokic,6500,C,SRB,23,0.4,14.8,19.5,23.6,9.2,0.4,2.4,6,0.6,1,1.4,10.4,31.18181327
67,Nikola Kalinic,2800,SF,SRB,12.75,0.8,1.4,13.5,17.6,4.8,0.2,1.4,3,0,1.2,0.8,7.5,12.76918171
68,Nikola Mirotic,7100,PF,ESP,23.5,0.8,29.4,18.8,23.76,11.8,1.6,2,5.6,0.4,0.4,1.4,8.5,21.45676308
69,Patricio Garino,3300,SF,ARG,13.75,0.6,6.6,9.2,25.12,6,0.8,0.4,3.4,0.2,1.2,0.6,3.43,14.4953182
70,Patty Mills,8500,PG,AUS,29.438,1,28.25,29.2,26.76,20.5,3,2,2.25,0,1.25,1.75,9.35,27.16586038
71,Pau Gasol,10200,C,ESP,39.6,1,68,29.7,24.72,19.4,1.8,2.2,8.8,2,0.6,1.6,17.47,35.80021161
72,Paul George,7700,SF,USA,23,0.4,26.8,21.6,18.24,11.6,1.2,2.4,4,0.4,0.8,0.4,8.07,22.44400501
73,Paulius Jankunas,4800,PF,LTU,18.2,0.6,9.8,21.2,18.32,8.8,1.2,1.2,4.4,0.4,0.6,1,4.33,13.48113558
74,Renaldas Seibutis,4300,SG,LTU,15.55,0.8,8.4,13.9,16.56,7.8,1.2,1.8,1.8,0.2,1,0.4,3.3,10.50805985
75,Ricky Rubio,5400,PG,ESP,16.4,1,17,20.5,19.6,6.2,0.6,2.6,3.2,0,1.4,1.6,9.3,20.51366633
76,Robertas Javtokas,2000,C,LTU,2.167,0,0,NA,11.28,0,0,0.5,0,1,0.5,1,2,4.141975234
77,Roberto Acuna,2400,C,ARG,6.25,0.5,0.25,12.1,12.6,1.5,0,0.25,1.5,1,0.5,1,-0.65,12.11293658
79,Roko Ukic,3600,PG,CRO,17.2,1,5,13.3,25.28,5.4,0.8,3.2,3.6,0,1.2,0.6,5.9,14.96419165
80,Rudy Fernandez,5600,SF,ESP,24.05,1,13.2,16.3,25.76,11.4,2,2,3.8,0.2,2,1,14.07,21.71222414
81,Rudy Gobert,5300,C,FRA,17.55,1,12.8,15.1,19.2,5.4,0,0.2,6.2,2,0.4,1.4,5.2,17.79574301
82,Ryan Broekhoff,3800,SF,AUS,15.15,0.2,5.6,20.2,20.72,7,1,1.6,3.4,0,0.6,0.4,7.77,15.59575153
83,Sergio Llull,3700,PG,ESP,18.9,1,2.4,16.6,23.84,9.8,1,3.8,2,0,0.6,1.6,8.77,16.19845843
84,Sergio Rodriguez,3800,PG,ESP,17.7,0,8.2,21.8,16.96,7.2,1.6,4.8,2,0,0.6,2.4,4.4,14.03853419
85,Stefan Bircevic,2100,PF,SRB,3.9,0.6,0.4,12.3,8.24,2.2,0.2,0.2,0.8,0,0.2,0.2,-2.33,5.385784535
86,Stefan Jovic,2700,SG,SRB,10.85,0.2,3.8,14.1,14.24,2.6,0.2,2.4,3,0,0.8,1.6,2.17,10.36319796
87,Stefan Markovic,3200,PG,SRB,12.85,0.8,4.8,11.6,22.4,4.2,0.6,3.2,2.2,0,0.6,0.8,6.33,13.79057393
88,Thomas Heurtel,4400,PG,FRA,23.05,0.2,5.4,24.2,21.6,10.6,0.8,5,3.4,0,0.6,1.8,14.6,21.97046255
89,Tony Parker,6700,PG,FRA,21.688,1,29.5,26.3,21,13,0.5,3.75,1.25,0,1,1.5,7.25,18.98003858
90,Victor Claver,2000,SF,ESP,6.4,0,0.8,8.5,12.64,1.4,0,1,2.4,0,0.4,0.6,1.1,8.474338431
91,Vladimir Stimac,2000,C,SRB,9.25,0,0.8,29.4,8.72,3.4,0,0.2,4.2,0.2,0.2,1,2.4,9.807368086
92,Willy Hernangomez,2600,C,ESP,9.688,0,0.75,22.4,13.28,6,0,0.25,1.75,0.5,0.25,0.75,6.07,11.68842966
93,Zeljko Sakic,2000,SF,CRO,0.5,0,0.25,NA,3.36,0,0,0,0.5,0,0,0.25,-0.75,1.428358334
