"","Name","Salary","Pos","Team","Avg","STS","MIN","USG","FIC","FP","OWN","PTS","TPM","AST","STL","BLK","TOV","LU"
"70","Marko Simonovic",2600,"SF","SRB",12.063,0,14.56,"13.7",5.17,12.3273891104,4.25,6.5,0.75,0.5,1,0.5,0.25,9
"71","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,9
"72","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,9
"73","Darko Planinic",2900,"C","CRO",15.25,0,19.36,"15.6",6.13,15.01063250368,2.6,8.4,0,0.2,0.2,0.2,1,10
"74","Miroslav Raduljica",6000,"C","SRB",24.9,0.6,17.04,"30.6",9.4,23.63142769296,31.6,17.6,0,1.4,0.2,0.8,0.6,10
"75","Andres Nocioni",6700,"PF","ARG",28.55,0.8,34.48,"22.5",10.8,29.6157807204,19.8,15.6,2.4,0.4,1.4,0.8,2.6,10
"76","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,10
"77","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,10
"78","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,10
"79","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,10
"80","Milos Teodosic",6100,"SG","SRB",22.1,0.2,25.6,"25.8",9.57,23.1105830912,22.4,11.4,2.2,5,0.6,0,3.2,10
